[INFO][2020-05-13 10:38:50,005][MainThread:4630332864]新增用户:user
[INFO][2020-05-13 10:45:17,993][MainThread:4574799296]新增超级管理员:superadmin
[INFO][2020-05-13 10:45:18,131][MainThread:4574799296]新增管理员:admin
[INFO][2020-05-13 10:45:18,261][MainThread:4574799296]新增用户:user
[INFO][2020-05-13 10:45:43,691][MainThread:4414977472]新增超级管理员:superadmin
[INFO][2020-05-13 10:45:43,820][MainThread:4414977472]新增管理员:admin
[INFO][2020-05-13 10:45:43,950][MainThread:4414977472]新增用户:user
[INFO][2020-05-13 10:49:32,109][MainThread:4449715648]新增超级管理员:superadmin
[INFO][2020-05-13 10:49:32,253][MainThread:4449715648]新增管理员:admin
[INFO][2020-05-13 10:49:32,378][MainThread:4449715648]新增用户:user
[INFO][2020-05-13 10:50:14,332][MainThread:4717196736]新增超级管理员:superadmin
[INFO][2020-05-13 10:50:14,463][MainThread:4717196736]新增管理员:admin
[INFO][2020-05-13 10:50:14,597][MainThread:4717196736]新增用户:user
[INFO][2020-05-13 10:50:34,952][MainThread:4549469632]新增超级管理员:superadmin
[INFO][2020-05-13 10:50:35,133][MainThread:4549469632]新增管理员:admin
[INFO][2020-05-13 10:50:35,303][MainThread:4549469632]新增用户:user
[INFO][2020-05-13 10:50:55,611][MainThread:4483560896]新增超级管理员:superadmin
[INFO][2020-05-13 10:50:55,770][MainThread:4483560896]新增管理员:admin
[INFO][2020-05-13 10:50:55,900][MainThread:4483560896]新增用户:user
[INFO][2020-05-13 10:51:46,805][MainThread:4592162240]新增超级管理员:superadmin
[INFO][2020-05-13 10:51:46,957][MainThread:4592162240]新增管理员:admin
[INFO][2020-05-13 10:51:47,113][MainThread:4592162240]新增用户:user
[INFO][2020-05-13 10:52:19,102][MainThread:4541490624]新增超级管理员:superadmin
[INFO][2020-05-13 10:52:19,261][MainThread:4541490624]新增管理员:admin
[INFO][2020-05-13 10:52:19,418][MainThread:4541490624]新增用户:user
[INFO][2020-05-13 10:52:40,349][MainThread:4742587840]新增超级管理员:superadmin
[INFO][2020-05-13 10:52:40,478][MainThread:4742587840]新增管理员:admin
[INFO][2020-05-13 10:52:40,606][MainThread:4742587840]新增用户:user
[INFO][2020-05-13 10:54:03,672][Thread-2:123145483976704][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
[INFO][2020-05-13 10:54:11,594][Thread-3:123145483976704][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
[INFO][2020-05-13 10:54:33,228][MainThread:4565128640]新增超级管理员:superadmin
[INFO][2020-05-13 10:54:33,359][MainThread:4565128640]新增管理员:admin
[INFO][2020-05-13 10:54:33,489][MainThread:4565128640]新增用户:user
[INFO][2020-05-13 10:54:34,774][MainThread:4565128640][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
[INFO][2020-05-13 10:54:47,097][MainThread:4619453888]新增超级管理员:superadmin
[INFO][2020-05-13 10:54:47,247][MainThread:4619453888]新增管理员:admin
[INFO][2020-05-13 10:54:47,413][MainThread:4619453888]新增用户:user
[INFO][2020-05-13 10:54:48,377][MainThread:4619453888][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
[INFO][2020-05-13 10:55:07,138][MainThread:4751107520]新增超级管理员:superadmin
[INFO][2020-05-13 10:55:07,280][MainThread:4751107520]新增管理员:admin
[INFO][2020-05-13 10:55:07,488][MainThread:4751107520]新增用户:user
[INFO][2020-05-13 10:55:08,309][MainThread:4751107520][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
[INFO][2020-05-13 10:55:23,296][MainThread:4534265280]新增超级管理员:superadmin
[INFO][2020-05-13 10:55:23,432][MainThread:4534265280]新增管理员:admin
[INFO][2020-05-13 10:55:23,567][MainThread:4534265280]新增用户:user
[INFO][2020-05-13 10:55:24,131][MainThread:4534265280][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
[INFO][2020-05-13 10:55:39,355][MainThread:4738336192]新增超级管理员:superadmin
[INFO][2020-05-13 10:55:39,522][MainThread:4738336192]新增管理员:admin
[INFO][2020-05-13 10:55:39,726][MainThread:4738336192]新增用户:user
[INFO][2020-05-13 10:55:40,589][MainThread:4738336192][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
[INFO][2020-05-13 10:56:08,846][MainThread:4762895808]新增超级管理员:superadmin
[INFO][2020-05-13 10:56:08,981][MainThread:4762895808]新增管理员:admin
[INFO][2020-05-13 10:56:09,114][MainThread:4762895808]新增用户:user
[INFO][2020-05-13 10:56:09,402][MainThread:4762895808][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
[INFO][2020-05-13 10:56:15,990][Thread-4:123145483976704][用户: AnonymousUser][GET /api/car/get-car-profile/ 200 OK][{}][]
